URI,Title,Year,Album,Popularity,Duration,Key,Mode,Tempo,Time_signature,Valence,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Album debut,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter(s),Lead vocal(s),Cover,Covered by,Chart position UK (Wikipedia),Chart position US (Wikipedia),Highest position (The Guardian),Weeks on chart in UK (The Guardian),Weeks at No1 in UK (The Guardian),Highest position (Billboard),Weeks at No1 (Billboard),Top 50 (Billboard),Top 50 (Ultimate classic rock),Top 50 (Rolling Stone),Top 50 (NME),Top 50 (Top50songs.org),"Top 50 (USA today, 2017)","Top 50 (Vulture, by Bill Wyman)"
spotify:track:6W35n1UlkvqhfMZstB4BXs,Being for the Benefit of Mr. Kite!,1967,Sgt. Pepper's Lonely Hearts Club Band,54.0,157.0,0.0,1.0,111.874,4.0,0.71,0.526,0.413,-9.865,0.338,0.0,0.0992,0.0446,Sgt. Pepper's Lonely Hearts Club Band,7.0,,,,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","British Psychedelia, Psychedelic/Garage, Contemporary Pop/Rock, Early Pop/Rock",,Atmospheric Dramatic Druggy Eerie Freewheeling Ominous Theatrical Trippy Whimsical Ambitious Complex Nocturnal Quirky Unsettling Playful,"Lennon, with McCartney",Lennon,,11.0,,,,,,,,,,,,,,
spotify:track:2Qgak11t9BJHwkicG0WJQE,Besame Mucho,,Anthology 1,45.0,157.0,11.0,0.0,76.146,4.0,0.811,0.436,0.567,-6.446,0.539,0.0,0.296,0.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:1ABegtCPBMMJaMpfDyATjE,Birthday,1968,The Beatles,57.0,162.0,2.0,1.0,139.239,4.0,0.91,0.541,0.727,-7.509,7.37e-05,0.717,0.232,0.0384,The Beatles,11.0,,,,"Hard Rock, Rock and Roll, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, Album Rock","Birthday, Partying",Energetic Exuberant Freewheeling Fun Happy Playful Rollicking Rousing Brash Cheerful Exciting Raucous Bravado Fiery Giddy Irreverent Lively Swaggering Humorous Messy Whimsical,"McCartney, with Lennon","McCartney, with Lennon",,7.0,,,,,,,,,,,,,,
spotify:track:5jgFfDIR6FR0gvlA56Nakr,Blackbird,1968,The Beatles,79.0,139.0,7.0,1.0,93.699,4.0,0.372,0.686,0.127,-14.361,0.754,1.41e-05,0.0573,0.0342,The Beatles,12.0,,,,"Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter",Freedom,Amiable/Good-Natured Delicate Earnest Gentle Intimate Light Organic Poignant Soothing Summery Sweet Warm Elegant Precious Sentimental Soft/Quiet Springlike Wistful,McCartney,McCartney,,52.0,,,,,,,,,,38.0,5.0,26.0,16.0,31.0
spotify:track:0QIX9BS0AUCQcHYvyrsMkV,Blue Jay Way,1967,Magical Mystery Tour,53.0,235.0,0.0,1.0,101.052,4.0,0.0378,0.294,0.407,-11.575,0.0258,0.000219,0.0852,0.0308,Magical Mystery Tour,13.0,,,,"Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Dreamy Eerie Hypnotic Quirky Spacey Spooky Trippy Whimsical Druggy Ethereal Nocturnal Ominous Freewheeling Gloomy,Harrison,Harrison,,3.0,,,,,,,,,,,,,,
spotify:track:7JxGM1R32ZqfwZou3VtnTg,Boys,1963,Please Please Me,51.0,144.0,4.0,1.0,142.445,4.0,0.822,0.402,0.86,-10.31,0.607,0.0,0.736,0.0504,UK: Please Please Me US: The Early Beatles,21.0,Boys,"Kansas City/Hey, Hey, Hey, Hey",,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Partying, Summer, TGIF",Bright Energetic Exuberant Fun Lively Rollicking Brash Cheerful Joyous Celebratory Earnest Happy Playful Raucous Rousing Confident Rowdy Bravado,"Dixon, Farrell",Starkey (Best),Y,,,102.0,,,,,,,,,,,,
spotify:track:5D6TY2nkWmC0fijXKuYQrm,Can You Take Me Back? - Take 1,,The Beatles,30.0,142.0,5.0,1.0,79.355,4.0,0.746,0.728,0.276,-13.381,0.682,0.0,0.154,0.0539,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:3SdingSsFcZDZAyvcJbgAw,Can't Buy Me Love,1964,A Hard Day's Night,70.0,131.0,0.0,1.0,170.72,4.0,0.842,0.483,0.677,-5.91,0.283,0.0,0.321,0.0593,UK: A Hard Day's Night US: Hey Jude,42.0,Can't Buy Me Love,You Can't Do That,RIAA Gold,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","Awareness, In Love, Passion, Romance",Bright Energetic Fun Joyous Playful Rollicking Rousing Gleeful Freewheeling Raucous Swaggering Carefree Cheerful Explosive Lively Marching Optimistic Positive Strong,McCartney,"McCartney, with Lennon",,22.0,1.0,1.0,1.0,15.0,3.0,1.0,5.0,10.0,21.0,29.0,43.0,15.0,14.0,
spotify:track:2CkSHHcBZQXxg90xAcUkhn,Carol,1963,Live at the BBC,28.0,156.0,9.0,1.0,155.616,4.0,0.979,0.484,0.706,-11.505,0.311,6.55e-06,0.0839,0.0352,Live at the BBC,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Freedom, Hanging Out",Amiable/Good-Natured Bright Fun Bravado Energetic Freewheeling Gritty Innocent Rollicking Summery Swaggering Yearning Lively Whimsical Light Sparkling Confident,Berry,Lennon,Y,,,,,,,,,,,,,,,
spotify:track:5eZrW59C3UgBhkqNlowEID,Carry That Weight,1969,Abbey Road,62.0,96.0,0.0,1.0,84.319,4.0,0.704,0.543,0.458,-8.976,0.226,0.00663,0.298,0.0274,Abbey Road,5.0,,,,"Symphonic Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock",,Dramatic Indulgent Lush Sophisticated Theatrical Whimsical Dreamy Elaborate Searching Atmospheric Autumnal Complex Refined Rousing Self-Conscious Yearning Bittersweet,McCartney,"McCartney, with Lennon, Harrison and Starkey",,8.0,,,,,,,,,,,,,,
spotify:track:2VXAlfWBNhdiMEVUTGzGOb,Cayenne,1960,Anthology 1,31.0,74.0,3.0,0.0,143.696,4.0,0.74,0.475,0.548,-8.583,0.974,0.895,0.262,0.0311,Anthology 1,,,,,"Instrumental Rock, Pop/Rock",Early Pop/Rock,,Earnest Yearning Warm Bittersweet Melancholy Passionate Poignant Reflective,McCartney,,,,,,,,,,,,,,,,,
spotify:track:3JQWLa88R35d971o5bIImd,Chains,1963,Please Please Me,50.0,143.0,10.0,1.0,129.884,4.0,0.929,0.654,0.561,-10.551,0.608,0.0,0.129,0.0304,UK: Please Please Me US: The Early Beatles,18.0,,,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",Affection/Fondness,Amiable/Good-Natured Bright Cheerful Playful Earnest Rollicking Sweet Warm Fun,"Goffin, King","Harrison, with Lennon and McCartney",Y,,,,,,,,,,,,,,,
spotify:track:49GqhxyTdBXAn4cB8EAbTo,Circles - Esher Demo,1968,The Beatles,30.0,137.0,8.0,1.0,101.504,3.0,0.121,0.267,0.132,-11.61,0.351,1.52e-05,0.1,0.0378,,,,,,"Hindustani Blues, Pop/Rock","Prog-Rock, British Psychedelia",,Atmospheric Dreamy Reflective Hypnotic Sophisticated Austere Eerie Elegant Ethereal Quirky Refined Relaxed Self-Conscious Summery Trippy,Harrison,Harrison,,,,,,,,,,,,,,,,
spotify:track:569Uf7t8MiSwnHgjk1yrLF,Clarabella,1963,Live at the BBC,27.0,160.0,7.0,1.0,132.094,4.0,0.883,0.521,0.63,-11.097,0.61,0.0,0.597,0.0729,Live at the BBC,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, Guys Night Out, Sex",Amiable/Good-Natured Swaggering Bright Freewheeling Passionate Yearning Fun Lively Rollicking Whimsical Bravado Light Sexy Sparkling Confident Energetic Summery,Pingatore,McCartney,Y,,,,,,,,,,,,,,,
spotify:track:2EqlS6tkEnglzr7tkKAAYD,Come Together,1969,Abbey Road,81.0,258.0,9.0,0.0,165.007,4.0,0.187,0.533,0.376,-11.913,0.0302,0.248,0.0926,0.0393,Abbey Road,17.0,Something,Come Together,RIAA 2xPlatinum,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll",,Atmospheric Bravado Nocturnal Swaggering Laid-Back/Mellow Rousing Dreamy Sexy Spacey Playful,Lennon,Lennon,,53.0,4.0,1.0,,,,1.0,,6.0,20.0,9.0,20.0,1.0,47.0,44.0
spotify:track:5i20MCj9bBNGeFUcN1xTk0,Come and Get It,1969,Anthology 3,33.0,150.0,4.0,1.0,89.166,4.0,0.545,0.603,0.536,-7.934,0.00186,0.000503,0.129,0.0273,Anthology 3,,,,,"Power Pop, Pop/Rock","AM Pop, Contemporary Pop/Rock, Soft Rock","Day Driving, Hanging Out, Playful, Summer, TGIF",Amiable/Good-Natured Cheerful Light Playful Relaxed Summery,McCartney,McCartney,,,,,,,,,,,,,,,,
spotify:track:5XmetMMUFNXClbiYnGdVmP,Cry Baby Cry,1968,The Beatles,52.0,183.0,9.0,0.0,76.644,4.0,0.362,0.517,0.529,-11.851,0.115,0.00396,0.174,0.0323,The Beatles,10.0,,,,Pop/Rock,"Contemporary Pop/Rock, Early Pop/Rock, Album Rock, British Psychedelia, Psychedelic/Garage",,Dreamy Eccentric Enigmatic Lazy Precious Quirky Weary Bittersweet Literate Nocturnal Searching Whimsical Autumnal Meandering Playful,Lennon,"Lennon, with McCartney",,3.0,,,,,,,,,,,,,,
