"This is a list of medallists at the Summer Olympic Games (1896-2004) with details of the year of the olympics, city, sport, discipline, athlete name, gender, event and medal",,,,,,,,,,
,,,,,,,,,,
"DISCLAIMER: No guarantees, express or implied, as to the accuracy or completeness of the information provided. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,City,Sport,Discipline,Athlete Name,NOC,Gender,Event,Event Gender,Medal,Position
1900,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,BERTRAND,FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,CADET,FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Victor",FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,VERBECKE,FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Cycling,Cycling Track,"DAUMAIN, .....",FRA,Men,25 kilometres,M,Bronze,3
1900,Paris,Cycling,Cycling Track,"BASTIEN, Louis",FRA,Men,25 kilometres,M,Gold,1
1900,Paris,Cycling,Cycling Track,"HILDEBRAND, Louis",FRA,Men,25 kilometres,M,Silver,2
1900,Paris,Shooting,Shooting,"BALME, Eugène",FRA,Men,25m rapid fire pistol (60 shots),M,Bronze,3
1900,Paris,Shooting,Shooting,"LARROUY, Maurice",FRA,Men,25m rapid fire pistol (60 shots),M,Gold,1
1900,Paris,Shooting,Shooting,"MOREAUX, Léon",FRA,Men,25m rapid fire pistol (60 shots),M,Silver,2
1900,Paris,Sailing,Sailing,"MACHENRY, M.",USA,Men,3-10t,X,Bronze,3
1900,Paris,Sailing,Sailing,"TAYLOR, Howard",GBR,Men,3-10t,X,Gold,1
1900,Paris,Sailing,Sailing,"GUFFLET, Maurice",FRA,Men,3-10t,X,Silver,2
1900,Paris,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,M,Bronze,3
1900,Paris,Athletics,Athletics,"ORTON, George",CAN,Men,3000m steeplechase,M,Gold,1
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,M,Silver,2
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,4000m freestyle,M,Bronze,3
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,4000m freestyle,M,Gold,1
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,4000m freestyle,M,Silver,2
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,M,Bronze,3
1900,Paris,Athletics,Athletics,"RIMMER, John",GBR,Men,4000m steeplechase,M,Gold,1
1900,Paris,Athletics,Athletics,"BENNETT, Charles",GBR,Men,4000m steeplechase,M,Silver,2
1900,Paris,Athletics,Athletics,"SCHULTZ, Ernst",DEN,Men,400m,M,Bronze,3
1900,Paris,Athletics,Athletics,"LONG, Maxwell W.Maxey",USA,Men,400m,M,Gold,1
1900,Paris,Athletics,Athletics,"HOLLAND, William",USA,Men,400m,M,Silver,2
1900,Paris,Athletics,Athletics,"ORTON, George",CAN,Men,400m hurdles,M,Bronze,3
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,400m hurdles,M,Gold,1
1900,Paris,Athletics,Athletics,"TAUZIN, Henri",FRA,Men,400m hurdles,M,Silver,2
1900,Paris,Athletics,Athletics,"BENNETT, Charles",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"RIMMER, John",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"TYSOE, Alfred",ZZX,Men,5000m team,M,Gold,1
1900,Paris,Athletics,Athletics,"CASTANET, André",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"CHAMPOUDRY, Michel",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"DELOGE, Henri",FRA,Men,5000m team,M,Silver,2
1900,Paris,Athletics,Athletics,"RAGUENEAU, Gaston",FRA,Men,5000m team,M,Silver,2
1900,Paris,Shooting,Shooting,"BOUWENS, Antonius",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"SILLEM, Henrik",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"SWEYS, Anthony Ahasuerus",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"VAN DEN BERGH, Solko Johannes",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"VAN HAAN, Gerardus",NED,Men,"50m army pistol, team",M,Bronze,3
1900,Paris,Shooting,Shooting,"LÜTHI, Friedrich",SUI,Men,"50m army pistol, team",M,Gold,1
1900,Paris,Shooting,Shooting,"PROBST, Paul",SUI,Men,"50m army pistol, team",M,Gold,1
1900,Paris,Shooting,Shooting,"RICHARDET, Louis-Marc",SUI,Men,"50m army pistol, team",M,Gold,1
1900,Paris,Shooting,Shooting,"RÖDERER, Karl Konrad",SUI,Men,"50m army pistol, team",M,Gold,1
1900,Paris,Shooting,Shooting,"STÄHELI, Konrad",SUI,Men,"50m army pistol, team",M,Gold,1
1900,Paris,Shooting,Shooting,"DUFFOY, Louis",FRA,Men,"50m army pistol, team",M,Silver,2
1900,Paris,Shooting,Shooting,"LECOQ, Maurice",FRA,Men,"50m army pistol, team",M,Silver,2
1900,Paris,Shooting,Shooting,"MOREAUX, Léon",FRA,Men,"50m army pistol, team",M,Silver,2
1900,Paris,Shooting,Shooting,"PAROCHE, Achille",FRA,Men,"50m army pistol, team",M,Silver,2
